시군구,성별,연령대,동반자유형,평점
강원 삼척시,여,50대,가족이 아닌 경우,4.033333333333333
강원 삼척시,여,60대,가족,3.958333333333333
강원 삼척시,여,60대,가족이 아닌 경우,4.277777777777778
강원 삼척시,여,70세 이상,가족,4.190476190476191
강원 삼척시,여,70세 이상,가족이 아닌 경우,4.277777777777778
강원 속초시,남,15~19세,가족,4.0606060606060606
강원 속초시,남,15~19세,가족이 아닌 경우,4.133333333333333
강원 속초시,남,20대,가족,4.0
강원 속초시,남,20대,가족이 아닌 경우,4.0508474576271185
강원 속초시,남,30대,가족,4.1611111111111105
강원 속초시,남,30대,가족이 아닌 경우,4.10077519379845
강원 속초시,남,40대,가족,4.106227106227107
강원 속초시,남,40대,가족이 아닌 경우,4.183333333333334
강원 속초시,남,50대,가족,4.138528138528139
강원 속초시,남,50대,가족이 아닌 경우,4.135802469135803
강원 속초시,남,60대,가족,4.089430894308943
강원 속초시,남,60대,가족이 아닌 경우,4.166666666666667
강원 속초시,남,70세 이상,가족,4.333333333333333
강원 속초시,남,70세 이상,가족이 아닌 경우,4.2727272727272725
강원 속초시,여,15~19세,가족,4.0
강원 속초시,여,15~19세,가족이 아닌 경우,4.666666666666666
강원 속초시,여,20대,가족,4.142857142857143
강원 속초시,여,20대,가족이 아닌 경우,4.169934640522875
강원 속초시,여,30대,가족,4.128654970760234
강원 속초시,여,30대,가족이 아닌 경우,4.096774193548387
강원 속초시,여,40대,가족,4.114695340501792
강원 속초시,여,40대,가족이 아닌 경우,4.098039215686275
강원 속초시,여,50대,가족,4.08955223880597
강원 속초시,여,50대,가족이 아닌 경우,4.019607843137255
강원 속초시,여,60대,가족,4.0964912280701755
강원 속초시,여,60대,가족이 아닌 경우,4.075757575757576
강원 속초시,여,70세 이상,가족,4.1066666666666665
강원 속초시,여,70세 이상,가족이 아닌 경우,4.138888888888888
강원 양구군,남,15~19세,가족,4.0
강원 양구군,남,30대,가족,4.0
강원 양구군,남,30대,가족이 아닌 경우,3.3333333333333335
강원 양구군,남,40대,가족,4.166666666666667
강원 양구군,남,50대,가족,4.111111111111111
강원 양구군,남,50대,가족이 아닌 경우,3.6666666666666665
강원 양구군,남,60대,가족,4.333333333333333
강원 양구군,남,70세 이상,가족,4.0
강원 양구군,여,30대,가족,4.0
강원 양구군,여,30대,가족이 아닌 경우,4.0
강원 양구군,여,40대,가족,4.166666666666666
강원 양구군,여,70세 이상,가족,4.5
강원 양양군,남,15~19세,가족,4.333333333333333
강원 양양군,남,15~19세,가족이 아닌 경우,3.3333333333333335
강원 양양군,남,20대,가족,4.333333333333333
강원 양양군,남,20대,가족이 아닌 경우,4.3076923076923075
강원 양양군,남,30대,가족,3.9
강원 양양군,남,30대,가족이 아닌 경우,4.0
강원 양양군,남,40대,가족,4.0144927536231885
강원 양양군,남,40대,가족이 아닌 경우,3.7777777777777772
강원 양양군,남,50대,가족,3.96078431372549
강원 양양군,남,50대,가족이 아닌 경우,4.111111111111111
강원 양양군,남,60대,가족,4.142857142857143
강원 양양군,남,60대,가족이 아닌 경우,4.416666666666667
강원 양양군,남,70세 이상,가족,4.166666666666666
강원 양양군,남,70세 이상,가족이 아닌 경우,4.166666666666666
강원 양양군,여,15~19세,가족,4.333333333333333
강원 양양군,여,15~19세,가족이 아닌 경우,5.0
강원 양양군,여,20대,가족,4.333333333333333
강원 양양군,여,20대,가족이 아닌 경우,4.222222222222222
강원 양양군,여,30대,가족,4.235294117647059
강원 양양군,여,30대,가족이 아닌 경우,4.111111111111111
강원 양양군,여,40대,가족,4.03030303030303
강원 양양군,여,40대,가족이 아닌 경우,4.222222222222222
강원 양양군,여,50대,가족,4.2
강원 양양군,여,50대,가족이 아닌 경우,4.037037037037037
강원 양양군,여,60대,가족,4.166666666666666
강원 양양군,여,60대,가족이 아닌 경우,4.095238095238095
강원 양양군,여,70세 이상,가족,3.7619047619047623
강원 양양군,여,70세 이상,가족이 아닌 경우,4.5
강원 영월군,남,15~19세,가족,4.0
강원 영월군,남,15~19세,가족이 아닌 경우,3.6666666666666665
강원 영월군,남,20대,가족,4.0
강원 영월군,남,20대,가족이 아닌 경우,4.277777777777778
강원 영월군,남,30대,가족,4.083333333333333
강원 영월군,남,40대,가족,4.208333333333333
강원 영월군,남,40대,가족이 아닌 경우,4.0
강원 영월군,남,50대,가족,4.2
강원 영월군,남,50대,가족이 아닌 경우,3.944444444444444
강원 영월군,남,60대,가족,3.888888888888889
강원 영월군,남,60대,가족이 아닌 경우,4.0
강원 영월군,남,70세 이상,가족,4.0
강원 영월군,남,70세 이상,가족이 아닌 경우,4.333333333333333
강원 영월군,여,15~19세,가족,4.0
강원 영월군,여,20대,가족,4.0
강원 영월군,여,20대,가족이 아닌 경우,4.0
강원 영월군,여,30대,가족,4.0
강원 영월군,여,30대,가족이 아닌 경우,4.333333333333333
강원 영월군,여,40대,가족,3.8666666666666663
강원 영월군,여,40대,가족이 아닌 경우,4.0
강원 영월군,여,50대,가족,4.055555555555556
강원 영월군,여,50대,가족이 아닌 경우,4.055555555555556
강원 영월군,여,60대,가족,4.111111111111111
강원 영월군,여,60대,가족이 아닌 경우,3.8888888888888893
강원 영월군,여,70세 이상,가족,4.333333333333333
강원 영월군,여,70세 이상,가족이 아닌 경우,4.5
강원 원주시,남,15~19세,가족,3.888888888888889
강원 원주시,남,20대,가족,4.5
강원 원주시,남,20대,가족이 아닌 경우,4.071428571428571
강원 원주시,남,30대,가족,3.9
강원 원주시,남,30대,가족이 아닌 경우,4.17948717948718
강원 원주시,남,40대,가족,3.8055555555555554
강원 원주시,남,40대,가족이 아닌 경우,4.055555555555555
강원 원주시,남,50대,가족,4.027777777777778
강원 원주시,남,50대,가족이 아닌 경우,4.019607843137255
강원 원주시,남,60대,가족,4.0
강원 원주시,남,60대,가족이 아닌 경우,3.8717948717948714
강원 원주시,남,70세 이상,가족,3.833333333333333
강원 원주시,남,70세 이상,가족이 아닌 경우,4.166666666666666
강원 원주시,여,15~19세,가족,4.111111111111111
강원 원주시,여,15~19세,가족이 아닌 경우,4.0
강원 원주시,여,20대,가족,4.285714285714286
강원 원주시,여,20대,가족이 아닌 경우,4.111111111111111
강원 원주시,여,30대,가족,4.0625
강원 원주시,여,30대,가족이 아닌 경우,3.888888888888889
강원 원주시,여,40대,가족,3.9047619047619047
강원 원주시,여,40대,가족이 아닌 경우,4.0
강원 원주시,여,50대,가족,4.133333333333333
강원 원주시,여,50대,가족이 아닌 경우,4.03030303030303
강원 원주시,여,60대,가족,3.9
강원 원주시,여,60대,가족이 아닌 경우,3.9666666666666672
강원 원주시,여,70세 이상,가족,4.055555555555555
강원 원주시,여,70세 이상,가족이 아닌 경우,3.6666666666666665
강원 인제군,남,20대,가족이 아닌 경우,4.333333333333333
강원 인제군,남,30대,가족,4.333333333333334
강원 인제군,남,30대,가족이 아닌 경우,4.0
강원 인제군,남,40대,가족,4.0
강원 인제군,남,40대,가족이 아닌 경우,4.0
강원 인제군,남,50대,가족,4.0476190476190474
강원 인제군,남,50대,가족이 아닌 경우,4.222222222222222
강원 인제군,남,60대,가족,4.133333333333333
강원 인제군,남,60대,가족이 아닌 경우,4.0
강원 인제군,남,70세 이상,가족,4.222222222222222
강원 인제군,남,70세 이상,가족이 아닌 경우,4.5
강원 인제군,여,20대,가족,4.0
강원 인제군,여,20대,가족이 아닌 경우,4.0
강원 인제군,여,30대,가족,4.055555555555555
강원 인제군,여,30대,가족이 아닌 경우,4.0
강원 인제군,여,40대,가족,4.285714285714286
강원 인제군,여,40대,가족이 아닌 경우,4.083333333333333
강원 인제군,여,50대,가족,4.444444444444444
강원 인제군,여,50대,가족이 아닌 경우,4.111111111111111
강원 인제군,여,60대,가족,4.166666666666666
강원 인제군,여,60대,가족이 아닌 경우,4.0
강원 인제군,여,70세 이상,가족,4.0
강원 인제군,여,70세 이상,가족이 아닌 경우,4.0
강원 정선군,남,15~19세,가족,4.0
강원 정선군,남,20대,가족이 아닌 경우,4.166666666666667
강원 정선군,남,30대,가족,4.0740740740740735
강원 정선군,남,30대,가족이 아닌 경우,4.095238095238095
