시군구,성별,연령대,동반자유형,평점
경기 안양시,남,20대,가족이 아닌 경우,3.875
경기 안양시,남,30대,가족,4.0
경기 안양시,남,40대,가족,4.0
경기 안양시,남,50대,가족,4.0
경기 안양시,남,50대,가족이 아닌 경우,4.111111111111111
경기 안양시,남,60대,가족,3.888888888888889
경기 안양시,남,60대,가족이 아닌 경우,3.6666666666666665
경기 안양시,여,15~19세,가족,4.0
경기 안양시,여,20대,가족,3.0
경기 안양시,여,30대,가족,4.0
경기 안양시,여,40대,가족,3.8095238095238098
경기 안양시,여,40대,가족이 아닌 경우,4.333333333333333
경기 안양시,여,50대,가족,3.888888888888889
경기 안양시,여,50대,가족이 아닌 경우,4.0
경기 안양시,여,60대,가족이 아닌 경우,4.0
경기 안양시,여,70세 이상,가족,3.888888888888889
경기 양주시,남,20대,가족,4.333333333333333
경기 양주시,남,20대,가족이 아닌 경우,4.166666666666666
경기 양주시,남,30대,가족,4.291666666666667
경기 양주시,남,30대,가족이 아닌 경우,4.0
경기 양주시,남,40대,가족,4.0256410256410255
경기 양주시,남,40대,가족이 아닌 경우,4.0
경기 양주시,남,50대,가족,4.0
경기 양주시,남,50대,가족이 아닌 경우,3.9333333333333336
경기 양주시,남,60대,가족,4.0
경기 양주시,남,60대,가족이 아닌 경우,4.083333333333333
경기 양주시,남,70세 이상,가족,4.0
경기 양주시,여,15~19세,가족이 아닌 경우,4.0
경기 양주시,여,20대,가족이 아닌 경우,4.222222222222222
경기 양주시,여,30대,가족,4.111111111111112
경기 양주시,여,30대,가족이 아닌 경우,4.0
경기 양주시,여,40대,가족,4.0
경기 양주시,여,40대,가족이 아닌 경우,3.5
경기 양주시,여,50대,가족,4.266666666666667
경기 양주시,여,50대,가족이 아닌 경우,3.6666666666666665
경기 양주시,여,60대,가족,3.777777777777778
경기 양주시,여,60대,가족이 아닌 경우,3.9166666666666665
경기 양주시,여,70세 이상,가족,4.0
경기 양평군,남,15~19세,가족,4.0
경기 양평군,남,20대,가족,3.6666666666666665
경기 양평군,남,20대,가족이 아닌 경우,4.150537634408602
경기 양평군,남,30대,가족,4.066666666666666
경기 양평군,남,30대,가족이 아닌 경우,4.083333333333334
경기 양평군,남,40대,가족,4.016260162601625
경기 양평군,남,40대,가족이 아닌 경우,4.0476190476190474
경기 양평군,남,50대,가족,4.083333333333333
경기 양평군,남,50대,가족이 아닌 경우,4.0
경기 양평군,남,60대,가족,4.037037037037037
경기 양평군,남,60대,가족이 아닌 경우,4.0
경기 양평군,남,70세 이상,가족,3.6666666666666665
경기 양평군,남,70세 이상,가족이 아닌 경우,4.166666666666667
경기 양평군,여,15~19세,가족,4.041666666666667
경기 양평군,여,15~19세,가족이 아닌 경우,4.0
경기 양평군,여,20대,가족,4.0
경기 양평군,여,20대,가족이 아닌 경우,4.019047619047619
경기 양평군,여,30대,가족,4.098039215686275
경기 양평군,여,30대,가족이 아닌 경우,4.12
경기 양평군,여,40대,가족,4.019047619047619
경기 양평군,여,40대,가족이 아닌 경우,4.023809523809524
경기 양평군,여,50대,가족,3.9696969696969693
경기 양평군,여,50대,가족이 아닌 경우,4.142857142857143
경기 양평군,여,60대,가족,4.0606060606060606
경기 양평군,여,60대,가족이 아닌 경우,4.105263157894737
경기 양평군,여,70세 이상,가족,4.454545454545454
경기 양평군,여,70세 이상,가족이 아닌 경우,4.1
경기 여주시,남,20대,가족,4.0
경기 여주시,남,20대,가족이 아닌 경우,3.8333333333333335
경기 여주시,남,30대,가족,3.9523809523809526
경기 여주시,남,30대,가족이 아닌 경우,4.0
경기 여주시,남,40대,가족,3.8333333333333335
경기 여주시,남,40대,가족이 아닌 경우,4.0
경기 여주시,남,50대,가족,4.166666666666667
경기 여주시,남,50대,가족이 아닌 경우,4.166666666666667
경기 여주시,남,60대,가족,4.5
경기 여주시,남,60대,가족이 아닌 경우,4.25
경기 여주시,남,70세 이상,가족,4.066666666666666
경기 여주시,여,15~19세,가족이 아닌 경우,5.0
경기 여주시,여,20대,가족,4.0
경기 여주시,여,20대,가족이 아닌 경우,4.333333333333334
경기 여주시,여,30대,가족,4.037037037037037
경기 여주시,여,30대,가족이 아닌 경우,4.0
경기 여주시,여,40대,가족,4.0606060606060606
경기 여주시,여,40대,가족이 아닌 경우,4.0476190476190474
경기 여주시,여,50대,가족,4.0
경기 여주시,여,50대,가족이 아닌 경우,3.888888888888889
경기 여주시,여,60대,가족,3.3333333333333335
경기 여주시,여,60대,가족이 아닌 경우,4.0
경기 여주시,여,70세 이상,가족,3.833333333333333
경기 여주시,여,70세 이상,가족이 아닌 경우,4.0
경기 연천군,남,15~19세,가족,4.666666666666667
경기 연천군,남,20대,가족이 아닌 경우,4.111111111111111
경기 연천군,남,30대,가족,3.6666666666666665
경기 연천군,남,30대,가족이 아닌 경우,3.75
경기 연천군,남,40대,가족,4.2592592592592595
경기 연천군,남,40대,가족이 아닌 경우,4.666666666666667
경기 연천군,남,50대,가족,4.133333333333333
경기 연천군,남,50대,가족이 아닌 경우,4.0
경기 연천군,남,60대,가족,4.0
경기 연천군,여,20대,가족이 아닌 경우,4.0
경기 연천군,여,30대,가족,4.0740740740740735
경기 연천군,여,30대,가족이 아닌 경우,4.0
경기 연천군,여,40대,가족,3.9333333333333327
경기 연천군,여,40대,가족이 아닌 경우,4.222222222222222
경기 연천군,여,50대,가족,4.166666666666666
경기 연천군,여,50대,가족이 아닌 경우,3.7777777777777772
경기 연천군,여,60대,가족이 아닌 경우,4.0
경기 연천군,여,70세 이상,가족,3.888888888888889
경기 연천군,여,70세 이상,가족이 아닌 경우,4.0
경기 오산시,남,15~19세,가족,4.111111111111111
경기 오산시,남,20대,가족,3.6666666666666665
경기 오산시,남,30대,가족,3.6666666666666665
경기 오산시,남,30대,가족이 아닌 경우,4.0
경기 오산시,남,50대,가족,3.888888888888889
경기 오산시,남,70세 이상,가족,4.0
경기 오산시,여,20대,가족,3.3333333333333335
경기 오산시,여,20대,가족이 아닌 경우,4.333333333333333
경기 오산시,여,30대,가족이 아닌 경우,3.0
경기 오산시,여,40대,가족,3.9047619047619047
경기 오산시,여,40대,가족이 아닌 경우,4.0
경기 오산시,여,50대,가족이 아닌 경우,4.0
경기 오산시,여,60대,가족,3.833333333333333
경기 오산시,여,60대,가족이 아닌 경우,4.0
경기 오산시,여,70세 이상,가족,4.166666666666666
경기 용인시,남,15~19세,가족,4.0476190476190474
경기 용인시,남,15~19세,가족이 아닌 경우,4.363636363636363
경기 용인시,남,20대,가족,4.0
경기 용인시,남,20대,가족이 아닌 경우,4.0606060606060606
경기 용인시,남,30대,가족,4.035714285714286
경기 용인시,남,30대,가족이 아닌 경우,4.0
경기 용인시,남,40대,가족,4.201388888888888
경기 용인시,남,40대,가족이 아닌 경우,4.238095238095238
경기 용인시,남,50대,가족,4.0
경기 용인시,남,50대,가족이 아닌 경우,4.5
경기 용인시,남,60대,가족,3.888888888888889
경기 용인시,남,60대,가족이 아닌 경우,3.666666666666667
경기 용인시,남,70세 이상,가족,4.5
경기 용인시,남,70세 이상,가족이 아닌 경우,4.166666666666666
경기 용인시,여,15~19세,가족,4.4
경기 용인시,여,15~19세,가족이 아닌 경우,4.125
경기 용인시,여,20대,가족,4.0476190476190474
경기 용인시,여,20대,가족이 아닌 경우,4.119047619047619
경기 용인시,여,30대,가족,4.179012345679012
경기 용인시,여,30대,가족이 아닌 경우,4.041666666666667
경기 용인시,여,40대,가족,4.041666666666666
경기 용인시,여,40대,가족이 아닌 경우,4.666666666666667
경기 용인시,여,50대,가족,4.133333333333333
경기 용인시,여,50대,가족이 아닌 경우,4.25
경기 용인시,여,60대,가족,4.0
경기 용인시,여,60대,가족이 아닌 경우,4.333333333333333
경기 용인시,여,70세 이상,가족,4.166666666666666
경기 용인시,여,70세 이상,가족이 아닌 경우,4.0
경기 의왕시,남,15~19세,가족,4.0
경기 의왕시,남,20대,가족,3.3333333333333335
경기 의왕시,남,20대,가족이 아닌 경우,4.0
경기 의왕시,남,30대,가족,4.0
경기 의왕시,남,40대,가족,4.111111111111111
경기 의왕시,남,50대,가족,4.083333333333333
경기 의왕시,남,50대,가족이 아닌 경우,4.0
경기 의왕시,남,60대,가족,4.0
경기 의왕시,남,70세 이상,가족,4.0
경기 의왕시,여,20대,가족,4.111111111111111
경기 의왕시,여,30대,가족,4.0
경기 의왕시,여,30대,가족이 아닌 경우,4.0
경기 의왕시,여,40대,가족,3.6666666666666665
경기 의왕시,여,40대,가족이 아닌 경우,3.666666666666667
경기 의왕시,여,50대,가족,3.777777777777778
경기 의왕시,여,50대,가족이 아닌 경우,4.0
경기 의왕시,여,60대,가족,3.75
경기 의왕시,여,60대,가족이 아닌 경우,4.0
경기 의왕시,여,70세 이상,가족,3.0
경기 의왕시,여,70세 이상,가족이 아닌 경우,3.6666666666666665
경기 의정부시,남,20대,가족이 아닌 경우,4.0
경기 의정부시,남,30대,가족,4.066666666666666
경기 의정부시,남,30대,가족이 아닌 경우,4.0
경기 의정부시,남,40대,가족,4.0
경기 의정부시,남,40대,가족이 아닌 경우,4.222222222222222
경기 의정부시,남,50대,가족,3.8666666666666663
경기 의정부시,남,60대,가족이 아닌 경우,3.3333333333333335
경기 의정부시,남,70세 이상,가족,4.333333333333333
경기 의정부시,여,15~19세,가족,3.6666666666666665
경기 의정부시,여,20대,가족,4.333333333333333
경기 의정부시,여,20대,가족이 아닌 경우,4.166666666666667
경기 의정부시,여,30대,가족,4.0
경기 의정부시,여,40대,가족,4.0
경기 의정부시,여,40대,가족이 아닌 경우,4.0
경기 의정부시,여,50대,가족,4.0
경기 의정부시,여,50대,가족이 아닌 경우,4.0
경기 의정부시,여,60대,가족,3.888888888888889
경기 의정부시,여,70세 이상,가족,3.2222222222222228
경기 이천시,남,20대,가족,3.833333333333333
경기 이천시,남,20대,가족이 아닌 경우,4.125
경기 이천시,남,30대,가족,4.222222222222222
경기 이천시,남,30대,가족이 아닌 경우,4.0
경기 이천시,남,40대,가족,4.0740740740740735
경기 이천시,남,40대,가족이 아닌 경우,3.0
경기 이천시,남,50대,가족,4.0
경기 이천시,남,50대,가족이 아닌 경우,3.888888888888889
경기 이천시,남,60대,가족,4.0
경기 이천시,남,60대,가족이 아닌 경우,4.0
경기 이천시,남,70세 이상,가족,3.833333333333333
경기 이천시,여,20대,가족,3.8333333333333335
경기 이천시,여,20대,가족이 아닌 경우,4.083333333333333
경기 이천시,여,30대,가족,4.166666666666667
경기 이천시,여,30대,가족이 아닌 경우,5.0
경기 이천시,여,40대,가족,4.25
경기 이천시,여,40대,가족이 아닌 경우,4.222222222222222
경기 이천시,여,50대,가족,4.444444444444444
경기 이천시,여,50대,가족이 아닌 경우,4.111111111111111
경기 이천시,여,60대,가족,3.6666666666666665
경기 이천시,여,60대,가족이 아닌 경우,4.0
경기 이천시,여,70세 이상,가족,3.5555555555555554
경기 파주시,남,15~19세,가족,3.6666666666666665
경기 파주시,남,15~19세,가족이 아닌 경우,4.833333333333334
경기 파주시,남,20대,가족,4.0
경기 파주시,남,20대,가족이 아닌 경우,4.011111111111111
경기 파주시,남,30대,가족,4.1
경기 파주시,남,30대,가족이 아닌 경우,3.8787878787878785
경기 파주시,남,40대,가족,3.9833333333333334
경기 파주시,남,40대,가족이 아닌 경우,4.166666666666667
경기 파주시,남,50대,가족,4.17948717948718
경기 파주시,남,50대,가족이 아닌 경우,4.0
경기 파주시,남,60대,가족,3.972222222222222
경기 파주시,남,60대,가족이 아닌 경우,4.111111111111112
경기 파주시,남,70세 이상,가족,3.952380952380952
경기 파주시,여,15~19세,가족,4.0
경기 파주시,여,15~19세,가족이 아닌 경우,4.333333333333333
경기 파주시,여,20대,가족,3.722222222222222
경기 파주시,여,20대,가족이 아닌 경우,4.055555555555555
경기 파주시,여,30대,가족,4.03030303030303
경기 파주시,여,30대,가족이 아닌 경우,4.071428571428571
경기 파주시,여,40대,가족,4.0588235294117645
경기 파주시,여,40대,가족이 아닌 경우,3.6333333333333337
경기 파주시,여,50대,가족,4.0
경기 파주시,여,50대,가족이 아닌 경우,3.925925925925926
경기 파주시,여,60대,가족,3.974358974358974
경기 파주시,여,60대,가족이 아닌 경우,4.044444444444444
경기 파주시,여,70세 이상,가족,4.0
경기 파주시,여,70세 이상,가족이 아닌 경우,4.0
경기 평택시,남,20대,가족,3.5
경기 평택시,남,20대,가족이 아닌 경우,4.166666666666667
경기 평택시,남,30대,가족,4.0476190476190474
경기 평택시,남,30대,가족이 아닌 경우,3.5
경기 평택시,남,40대,가족,4.0
경기 평택시,남,40대,가족이 아닌 경우,4.111111111111111
경기 평택시,남,50대,가족,4.0
경기 평택시,남,50대,가족이 아닌 경우,4.0
경기 평택시,남,60대,가족,4.0
경기 평택시,남,60대,가족이 아닌 경우,4.333333333333333
경기 평택시,여,20대,가족,4.0
경기 평택시,여,20대,가족이 아닌 경우,4.066666666666667
경기 평택시,여,30대,가족,4.0
경기 평택시,여,30대,가족이 아닌 경우,3.666666666666667
경기 평택시,여,40대,가족,3.9166666666666665
경기 평택시,여,40대,가족이 아닌 경우,4.0
경기 평택시,여,50대,가족,4.333333333333333
경기 평택시,여,50대,가족이 아닌 경우,4.166666666666667
경기 평택시,여,60대,가족,3.8666666666666663
경기 평택시,여,60대,가족이 아닌 경우,3.833333333333333
경기 평택시,여,70세 이상,가족,4.0
경기 평택시,여,70세 이상,가족이 아닌 경우,4.0
경기 포천시,남,15~19세,가족,4.0
경기 포천시,남,15~19세,가족이 아닌 경우,3.833333333333333
경기 포천시,남,20대,가족이 아닌 경우,4.142857142857143
경기 포천시,남,30대,가족,4.0740740740740735
경기 포천시,남,30대,가족이 아닌 경우,4.0740740740740735
경기 포천시,남,40대,가족,4.076923076923077
경기 포천시,남,40대,가족이 아닌 경우,3.9444444444444446
경기 포천시,남,50대,가족,4.196078431372548
경기 포천시,남,50대,가족이 아닌 경우,4.212121212121212
경기 포천시,남,60대,가족,3.880952380952381
경기 포천시,남,60대,가족이 아닌 경우,4.166666666666666
경기 포천시,남,70세 이상,가족,4.111111111111112
경기 포천시,남,70세 이상,가족이 아닌 경우,4.041666666666667
경기 포천시,여,15~19세,가족,3.666666666666667
경기 포천시,여,15~19세,가족이 아닌 경우,4.0
경기 포천시,여,20대,가족,4.0
경기 포천시,여,20대,가족이 아닌 경우,4.266666666666667
경기 포천시,여,30대,가족,4.022988505747127
경기 포천시,여,30대,가족이 아닌 경우,4.020833333333333
경기 포천시,여,40대,가족,4.071428571428571
경기 포천시,여,40대,가족이 아닌 경우,4.03030303030303
경기 포천시,여,50대,가족,4.119047619047619
경기 포천시,여,50대,가족이 아닌 경우,4.0476190476190474
경기 포천시,여,60대,가족,4.095238095238096
경기 포천시,여,60대,가족이 아닌 경우,4.104166666666667
경기 포천시,여,70세 이상,가족,3.972222222222222
경기 포천시,여,70세 이상,가족이 아닌 경우,3.8666666666666663
경기 하남시,남,15~19세,가족이 아닌 경우,3.6666666666666665
경기 하남시,남,20대,가족이 아닌 경우,4.2
경기 하남시,남,30대,가족,4.666666666666667
경기 하남시,남,30대,가족이 아닌 경우,4.0
경기 하남시,남,40대,가족,4.083333333333333
경기 하남시,남,50대,가족,4.25
경기 하남시,남,50대,가족이 아닌 경우,4.166666666666666
경기 하남시,남,60대,가족,4.666666666666667
경기 하남시,여,15~19세,가족이 아닌 경우,4.333333333333333
경기 하남시,여,20대,가족이 아닌 경우,4.083333333333333
경기 하남시,여,30대,가족,3.6666666666666665
경기 하남시,여,30대,가족이 아닌 경우,3.833333333333333
경기 하남시,여,40대,가족,4.111111111111112
경기 하남시,여,50대,가족,4.333333333333333
경기 하남시,여,60대,가족,4.0
경기 하남시,여,70세 이상,가족,4.0
경기 화성시,남,15~19세,가족,5.0
경기 화성시,남,15~19세,가족이 아닌 경우,4.666666666666667
경기 화성시,남,20대,가족,4.222222222222222
경기 화성시,남,20대,가족이 아닌 경우,3.9487179487179485
경기 화성시,남,30대,가족,3.871794871794872
경기 화성시,남,30대,가족이 아닌 경우,4.044444444444445
경기 화성시,남,40대,가족,4.083333333333333
경기 화성시,남,40대,가족이 아닌 경우,4.0476190476190474
경기 화성시,남,50대,가족,4.027777777777778
경기 화성시,남,60대,가족,4.0740740740740735
경기 화성시,남,60대,가족이 아닌 경우,4.25
경기 화성시,남,70세 이상,가족,4.0
경기 화성시,남,70세 이상,가족이 아닌 경우,3.5
경기 화성시,여,15~19세,가족,4.0
경기 화성시,여,15~19세,가족이 아닌 경우,4.333333333333333
경기 화성시,여,20대,가족,3.6666666666666665
경기 화성시,여,20대,가족이 아닌 경우,4.194444444444445
경기 화성시,여,30대,가족,4.0
경기 화성시,여,30대,가족이 아닌 경우,4.466666666666667
경기 화성시,여,40대,가족,3.972222222222222
경기 화성시,여,40대,가족이 아닌 경우,3.9444444444444446
경기 화성시,여,50대,가족,3.980392156862745
경기 화성시,여,50대,가족이 아닌 경우,4.023809523809524
경기 화성시,여,60대,가족,3.944444444444444
경기 화성시,여,60대,가족이 아닌 경우,3.9666666666666663
경기 화성시,여,70세 이상,가족,4.2
경기 화성시,여,70세 이상,가족이 아닌 경우,3.916666666666667
경남 거제시,남,15~19세,가족,4.0
경남 거제시,남,15~19세,가족이 아닌 경우,4.0
경남 거제시,남,20대,가족,4.111111111111111
경남 거제시,남,20대,가족이 아닌 경우,4.1875
경남 거제시,남,30대,가족,4.213333333333333
경남 거제시,남,30대,가족이 아닌 경우,4.0095238095238095
경남 거제시,남,40대,가족,4.140740740740741
경남 거제시,남,40대,가족이 아닌 경우,4.0
경남 거제시,남,50대,가족,4.16260162601626
경남 거제시,남,50대,가족이 아닌 경우,4.111111111111112
경남 거제시,남,60대,가족,4.098765432098765
경남 거제시,남,60대,가족이 아닌 경우,4.0
경남 거제시,남,70세 이상,가족,4.2
경남 거제시,남,70세 이상,가족이 아닌 경우,4.388888888888888
경남 거제시,여,15~19세,가족,3.7222222222222228
경남 거제시,여,15~19세,가족이 아닌 경우,4.066666666666666
경남 거제시,여,20대,가족,4.03030303030303
경남 거제시,여,20대,가족이 아닌 경우,4.0852713178294575
경남 거제시,여,30대,가족,4.093333333333333
경남 거제시,여,30대,가족이 아닌 경우,4.045454545454546
경남 거제시,여,40대,가족,4.050724637681159
경남 거제시,여,40대,가족이 아닌 경우,4.140350877192983
경남 거제시,여,50대,가족,3.963963963963964
경남 거제시,여,50대,가족이 아닌 경우,4.098039215686275
경남 거제시,여,60대,가족,4.0
경남 거제시,여,60대,가족이 아닌 경우,4.3
경남 거제시,여,70세 이상,가족,4.142857142857143
경남 거제시,여,70세 이상,가족이 아닌 경우,4.083333333333333
경남 거창군,남,15~19세,가족이 아닌 경우,4.0
경남 거창군,남,20대,가족,5.0
경남 거창군,남,20대,가족이 아닌 경우,4.166666666666667
경남 거창군,남,30대,가족,4.083333333333333
경남 거창군,남,30대,가족이 아닌 경우,3.3333333333333335
경남 거창군,남,40대,가족,4.111111111111111
경남 거창군,남,40대,가족이 아닌 경우,4.333333333333333
경남 거창군,남,50대,가족,3.9166666666666665
경남 거창군,남,50대,가족이 아닌 경우,4.25
경남 거창군,남,60대,가족,3.944444444444444
경남 거창군,남,60대,가족이 아닌 경우,4.0
경남 거창군,남,70세 이상,가족,4.0
경남 거창군,남,70세 이상,가족이 아닌 경우,4.166666666666666
경남 거창군,여,15~19세,가족,3.666666666666667
경남 거창군,여,20대,가족이 아닌 경우,3.833333333333333
경남 거창군,여,30대,가족,4.055555555555555
경남 거창군,여,30대,가족이 아닌 경우,4.066666666666666
경남 거창군,여,40대,가족,4.0
경남 거창군,여,40대,가족이 아닌 경우,4.0
경남 거창군,여,50대,가족,4.055555555555555
경남 거창군,여,50대,가족이 아닌 경우,4.111111111111112
경남 거창군,여,60대,가족,3.888888888888889
경남 거창군,여,60대,가족이 아닌 경우,4.222222222222222
경남 거창군,여,70세 이상,가족,4.0
경남 거창군,여,70세 이상,가족이 아닌 경우,4.0
경남 고성군,남,20대,가족,2.666666666666667
경남 고성군,남,20대,가족이 아닌 경우,4.0
경남 고성군,남,30대,가족,3.833333333333333
경남 고성군,남,40대,가족,3.8666666666666663
경남 고성군,남,40대,가족이 아닌 경우,4.333333333333333
경남 고성군,남,50대,가족,3.8333333333333335
경남 고성군,남,50대,가족이 아닌 경우,4.0
경남 고성군,남,60대,가족,4.0
경남 고성군,남,60대,가족이 아닌 경우,4.222222222222222
경남 고성군,남,70세 이상,가족,3.888888888888889
경남 고성군,여,20대,가족이 아닌 경우,4.111111111111111
경남 고성군,여,30대,가족,4.125
경남 고성군,여,30대,가족이 아닌 경우,4.0
경남 고성군,여,40대,가족,3.962962962962963
경남 고성군,여,40대,가족이 아닌 경우,3.9166666666666665
경남 고성군,여,50대,가족,4.0
경남 고성군,여,50대,가족이 아닌 경우,4.166666666666667
경남 고성군,여,60대,가족,4.0
경남 고성군,여,60대,가족이 아닌 경우,4.0
경남 김해시,남,15~19세,가족,4.066666666666666
경남 김해시,남,15~19세,가족이 아닌 경우,3.333333333333333
경남 김해시,남,20대,가족,3.7777777777777772
경남 김해시,남,20대,가족이 아닌 경우,4.0
경남 김해시,남,30대,가족,4.0
경남 김해시,남,30대,가족이 아닌 경우,3.8333333333333335
경남 김해시,남,40대,가족,4.041666666666667
경남 김해시,남,40대,가족이 아닌 경우,3.8333333333333335
경남 김해시,남,50대,가족,3.7142857142857144
경남 김해시,남,50대,가족이 아닌 경우,3.833333333333333
경남 김해시,남,60대,가족,3.6666666666666665
경남 김해시,남,60대,가족이 아닌 경우,4.083333333333333
경남 김해시,남,70세 이상,가족,3.6666666666666665
경남 김해시,남,70세 이상,가족이 아닌 경우,4.0
경남 김해시,여,15~19세,가족,4.0
경남 김해시,여,15~19세,가족이 아닌 경우,3.8666666666666663
경남 김해시,여,20대,가족,3.761904761904762
경남 김해시,여,20대,가족이 아닌 경우,3.9
경남 김해시,여,30대,가족,3.8666666666666667
경남 김해시,여,40대,가족,3.769230769230769
경남 김해시,여,40대,가족이 아닌 경우,4.111111111111111
경남 김해시,여,50대,가족,3.888888888888889
경남 김해시,여,50대,가족이 아닌 경우,4.0
경남 김해시,여,60대,가족,4.0
경남 김해시,여,60대,가족이 아닌 경우,4.333333333333334
경남 김해시,여,70세 이상,가족,4.0
경남 김해시,여,70세 이상,가족이 아닌 경우,4.166666666666666
경남 남해군,남,15~19세,가족,4.444444444444444
경남 남해군,남,15~19세,가족이 아닌 경우,4.166666666666667
경남 남해군,남,20대,가족,4.190476190476191
경남 남해군,남,20대,가족이 아닌 경우,4.290322580645161
경남 남해군,남,30대,가족,4.101449275362318
경남 남해군,남,30대,가족이 아닌 경우,4.041666666666667
경남 남해군,남,40대,가족,4.190476190476191
경남 남해군,남,40대,가족이 아닌 경우,4.0606060606060606
경남 남해군,남,50대,가족,4.115646258503401
경남 남해군,남,50대,가족이 아닌 경우,4.020833333333333
경남 남해군,남,60대,가족,4.172413793103448
경남 남해군,남,60대,가족이 아닌 경우,4.151515151515151
경남 남해군,남,70세 이상,가족,4.166666666666667
경남 남해군,남,70세 이상,가족이 아닌 경우,3.9166666666666665
경남 남해군,여,15~19세,가족,4.666666666666666
경남 남해군,여,15~19세,가족이 아닌 경우,4.166666666666666
경남 남해군,여,20대,가족,4.25
경남 남해군,여,20대,가족이 아닌 경우,4.173333333333333
경남 남해군,여,30대,가족,4.2272727272727275
경남 남해군,여,30대,가족이 아닌 경우,4.101449275362318
경남 남해군,여,40대,가족,4.086956521739131
경남 남해군,여,40대,가족이 아닌 경우,4.116666666666666
경남 남해군,여,50대,가족,4.034013605442176
경남 남해군,여,50대,가족이 아닌 경우,4.1759259259259265
경남 남해군,여,60대,가족,4.0
경남 남해군,여,60대,가족이 아닌 경우,3.986111111111111
경남 남해군,여,70세 이상,가족,3.888888888888889
경남 남해군,여,70세 이상,가족이 아닌 경우,4.151515151515151
경남 밀양시,남,15~19세,가족,4.0
경남 밀양시,남,20대,가족,4.0
경남 밀양시,남,20대,가족이 아닌 경우,4.049382716049383
경남 밀양시,남,30대,가족,4.166666666666667
경남 밀양시,남,30대,가족이 아닌 경우,4.078431372549019
경남 밀양시,남,40대,가족,4.016666666666667
경남 밀양시,남,40대,가족이 아닌 경우,3.523809523809524
경남 밀양시,남,50대,가족,4.116666666666666
경남 밀양시,남,50대,가족이 아닌 경우,3.814814814814815
경남 밀양시,남,60대,가족,3.980392156862745
경남 밀양시,남,60대,가족이 아닌 경우,3.958333333333333
경남 밀양시,남,70세 이상,가족,4.0
경남 밀양시,남,70세 이상,가족이 아닌 경우,4.0
경남 밀양시,여,15~19세,가족,3.777777777777778
경남 밀양시,여,15~19세,가족이 아닌 경우,3.166666666666667
경남 밀양시,여,20대,가족,4.25
경남 밀양시,여,20대,가족이 아닌 경우,4.023809523809524
경남 밀양시,여,30대,가족,4.166666666666667
경남 밀양시,여,30대,가족이 아닌 경우,4.0
경남 밀양시,여,40대,가족,4.141025641025641
경남 밀양시,여,40대,가족이 아닌 경우,4.2
경남 밀양시,여,50대,가족,3.962962962962963
경남 밀양시,여,50대,가족이 아닌 경우,4.121212121212121
경남 밀양시,여,60대,가족,3.933333333333333
경남 밀양시,여,60대,가족이 아닌 경우,4.166666666666667
경남 밀양시,여,70세 이상,가족,4.033333333333333
경남 밀양시,여,70세 이상,가족이 아닌 경우,4.0
경남 사천시,남,20대,가족,3.666666666666667
경남 사천시,남,20대,가족이 아닌 경우,4.066666666666666
경남 사천시,남,30대,가족,5.0
경남 사천시,남,30대,가족이 아닌 경우,4.133333333333334
경남 사천시,남,40대,가족,4.185185185185185
경남 사천시,남,40대,가족이 아닌 경우,4.166666666666666
경남 사천시,남,50대,가족,4.111111111111112
경남 사천시,남,50대,가족이 아닌 경우,4.111111111111111
경남 사천시,남,60대,가족,3.8888888888888893
경남 사천시,남,60대,가족이 아닌 경우,4.0
경남 사천시,남,70세 이상,가족,3.0
경남 사천시,남,70세 이상,가족이 아닌 경우,3.75
경남 사천시,여,15~19세,가족,4.666666666666667
경남 사천시,여,15~19세,가족이 아닌 경우,3.833333333333333
경남 사천시,여,20대,가족,4.0
경남 사천시,여,20대,가족이 아닌 경우,4.055555555555555
경남 사천시,여,30대,가족,3.9333333333333336
경남 사천시,여,30대,가족이 아닌 경우,4.444444444444444
경남 사천시,여,40대,가족,4.041666666666667
경남 사천시,여,40대,가족이 아닌 경우,4.0
경남 사천시,여,50대,가족,4.041666666666667
경남 사천시,여,50대,가족이 아닌 경우,4.0
경남 사천시,여,60대,가족,4.066666666666666
경남 사천시,여,60대,가족이 아닌 경우,3.8666666666666663
경남 사천시,여,70세 이상,가족,4.133333333333333
경남 사천시,여,70세 이상,가족이 아닌 경우,4.111111111111111
경남 산청군,남,15~19세,가족,4.0
경남 산청군,남,15~19세,가족이 아닌 경우,4.466666666666667
경남 산청군,남,20대,가족이 아닌 경우,4.380952380952381
경남 산청군,남,30대,가족,4.0
경남 산청군,남,30대,가족이 아닌 경우,4.095238095238096
경남 산청군,남,40대,가족,4.0476190476190474
경남 산청군,남,40대,가족이 아닌 경우,4.111111111111111
경남 산청군,남,50대,가족,4.0256410256410255
경남 산청군,남,50대,가족이 아닌 경우,4.148148148148149
경남 산청군,남,60대,가족,4.266666666666667
경남 산청군,남,60대,가족이 아닌 경우,4.0
경남 산청군,남,70세 이상,가족,4.416666666666667
경남 산청군,남,70세 이상,가족이 아닌 경우,3.777777777777778
경남 산청군,여,15~19세,가족,4.0
경남 산청군,여,20대,가족,3.333333333333333
경남 산청군,여,20대,가족이 아닌 경우,3.9333333333333336
경남 산청군,여,30대,가족,3.9166666666666665
경남 산청군,여,30대,가족이 아닌 경우,4.111111111111111
경남 산청군,여,40대,가족,4.125
경남 산청군,여,40대,가족이 아닌 경우,4.222222222222222
